,StandardScaler transformation,feature removal,loading data,prediction,total,total / row
0,16.11638069152832,3.403186798095703,929.3172359466553,147.2620964050293,166.87464714050293,0.0016687464714050292
1,9.244680404663086,3.368854522705078,1121.7620372772217,147.64642715454102,160.33101081848145,0.0016033101081848146
2,14.275312423706055,2.9141902923583984,1156.2144756317139,125.24104118347168,142.50779151916504,0.0014250779151916504
mean,13.212124506632486,3.22874387105306,1069.097916285197,140.04985491434732,156.5711498260498,0.001565711498260498
