,StandardScaler transformation,feature removal,loading data,prediction,total,total / row
0,9.411096572875977,3.3521652221679688,957.7233791351318,1315.9515857696533,1328.782081604004,0.01328782081604004
1,9.30476188659668,3.385305404663086,1092.0426845550537,1284.3661308288574,1297.1510887145996,0.012971510887145996
2,8.079051971435547,2.863645553588867,1175.450086593628,1100.2161502838135,1111.234188079834,0.01111234188079834
mean,8.931636810302734,3.200372060139974,1075.0720500946045,1233.5112889607747,1245.7224527994792,0.012457224527994791
