,score
accuracy,0.9990393348703975
positive_precision,0.8867924528301887
positive_recall,0.4895833333333333
negative_precision,0.9991433416668124
negative_recall,0.9998950241444468
f1,0.6308724832214766
auc,0.74473917873889
log_loss,0.033180281899404834
