name,inputMode,ouputMode,dbms,batchSize,timeWithOutConnection,timeWithConnection,elementProcessed,executionMode
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,1,20552,21728,301,BATCH_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,10,2126,2144,301,BATCH_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,100,293,295,301,BATCH_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,1000,163,164,301,BATCH_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,1,39982,40244,602,TIME_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,10,30376,30548,4214,TIME_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,100,29633,29766,28595,TIME_MODE
HEART_DISEASE,MYSQL,CONSOLE,MYSQL,1000,29756,29839,52073,TIME_MODE
