batchSize,dbms,elementProcessed,executionMode,inputMode,name,ouputMode,timeWithConnection,timeWithOutConnection
100,SKLEARN,303,BATCH,CSV,HEART_DISEASE,NO_OUTPUT,0,19.237518310546875
100,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CONSOLE,0,19.452571868896484
100,SKLEARN,303,BATCH,CSV,HEART_DISEASE,MYSQL,0,81.8932056427002
100,SKLEARN,303,BATCH,CSV,HEART_DISEASE,SQLSERVER,0,21.863937377929688
100,SKLEARN,303,BATCH,MYSQL,HEART_DISEASE,MYSQL,0,136.36422157287598
100,SKLEARN,303,BATCH,SQLSERVER,HEART_DISEASE,SQLSERVER,0,118.15857887268066
100,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CSV,0,27.873754501342773
1000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,NO_OUTPUT,0,6.594657897949219
1000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CONSOLE,0,7.897853851318359
1000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,MYSQL,0,39.861440658569336
1000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,SQLSERVER,0,7.117271423339844
1000,SKLEARN,303,BATCH,MYSQL,HEART_DISEASE,MYSQL,0,55.65309524536133
1000,SKLEARN,303,BATCH,SQLSERVER,HEART_DISEASE,SQLSERVER,0,25.229454040527344
1000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CSV,0,7.781505584716797
10000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,NO_OUTPUT,0,6.965398788452148
10000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CONSOLE,0,6.813764572143555
10000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,MYSQL,0,53.63750457763672
10000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,SQLSERVER,0,16.14093780517578
10000,SKLEARN,303,BATCH,MYSQL,HEART_DISEASE,MYSQL,0,48.11239242553711
10000,SKLEARN,303,BATCH,SQLSERVER,HEART_DISEASE,SQLSERVER,0,43.7464714050293
10000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CSV,0,8.515596389770508
100000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,NO_OUTPUT,0,9.102582931518555
100000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CONSOLE,0,7.688760757446289
100000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,MYSQL,0,28.52940559387207
100000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,SQLSERVER,0,6.490945816040039
100000,SKLEARN,303,BATCH,MYSQL,HEART_DISEASE,MYSQL,0,46.56052589416504
100000,SKLEARN,303,BATCH,SQLSERVER,HEART_DISEASE,SQLSERVER,0,29.170751571655273
100000,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CSV,0,8.138895034790039
ALL,SKLEARN,303,BATCH,CSV,HEART_DISEASE,NO_OUTPUT,0,7.062196731567383
ALL,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CONSOLE,0,6.788730621337891
ALL,SKLEARN,303,BATCH,CSV,HEART_DISEASE,MYSQL,0,28.1221866607666
ALL,SKLEARN,303,BATCH,CSV,HEART_DISEASE,SQLSERVER,0,19.913673400878906
ALL,SKLEARN,303,BATCH,MYSQL,HEART_DISEASE,MYSQL,0,43.99728775024414
ALL,SKLEARN,303,BATCH,SQLSERVER,HEART_DISEASE,SQLSERVER,0,24.149417877197266
ALL,SKLEARN,303,BATCH,CSV,HEART_DISEASE,CSV,0,7.39741325378418
