,score
accuracy,0.945473636840921
positive_precision,0.9405
positive_recall,0.47704793304590415
negative_precision,0.9457354140898445
negative_recall,0.9966995784335478
f1,0.6330136294800606
auc,0.736873755739726
log_loss,1.8832762436409516
