,StandardScaler transformation,feature removal,loading data,prediction,total,total / row
0,24.85036849975586,9.630680084228516,958.8046073913574,94.58446502685547,129.9130916595459,0.001299130916595459
1,24.176359176635742,6.498575210571289,1139.4412517547607,92.46587753295898,123.2147216796875,0.001232147216796875
2,14.26839828491211,3.108978271484375,1168.541431427002,82.63134956359863,100.07786750793457,0.0010007786750793456
mean,21.09837532043457,6.412744522094727,1088.9290968577068,89.89389737447102,117.73522694905598,0.0011773522694905599
