,StandardScaler transformation,feature removal,loading data,prediction,total,total / row
0,16.698837280273438,3.278493881225586,925.5552291870117,92.529296875,112.5631332397461,0.0011256313323974609
1,11.844158172607422,3.7708282470703125,1130.6281089782715,98.2522964477539,113.92807960510254,0.0011392807960510253
2,7.955312728881836,2.8917789459228516,1200.74462890625,82.99088478088379,93.89519691467285,0.0009389519691467285
mean,12.166102727254232,3.3137003580729165,1085.642655690511,91.25749270121257,106.7954699198405,0.001067954699198405
